original_word	synonyms	score	time_elapsed
cow	['cattle', 'bovine', 'livestock', 'heifer', 'bullock', 'steer', 'calf']	1.7856999999999998	0.6197001934051514
task	['job', 'assignment', 'chore', 'duty', 'project', 'undertaking', 'mission']	1.7856999999999998	0.6222720146179199
short	['brief', 'concise', 'compact', 'succinct', 'terse', 'small', 'limited', 'little', 'petite', 'abbreviated', 'curt']	1.648825	0.5099539756774902
live	['exist', 'dwell', 'reside', 'inhabit', 'occupy', 'stay', 'be', 'subsist', 'remain']	1.5237999999999998	0.44590330123901367
fast	['quick', 'rapid', 'swift', 'speedy', 'prompt', 'brisk', 'hasty', 'expeditious', 'agile', 'fleet']	1.7063333333333333	0.6935989856719971
red	['crimson', 'scarlet', 'ruby', 'cherry', 'vermillion']	1.32145	0.44400477409362793
silver	['argent', 'silvery', 'gray', 'grey', 'white', 'shiny']	1.7143	0.5669169425964355
cake	['pastry', 'dessert', 'confection', 'sweet', 'treat', 'gateau', 'torte', 'pie', 'tart']	1.7619	0.6145389080047607
safe	['secure', 'protected', 'shielded', 'guarded', 'unharmed', 'unscathed', 'untouched', 'immune', 'invulnerable', 'sheltered']	1.54765	0.5245299339294434
hot	['sizzling', 'scorching', 'sweltering', 'boiling', 'blazing', 'fiery', 'torrid', 'heated', 'burning', 'searing']	1.57145	0.5998260974884033
daylight	['daylight', 'sunlight', 'daytime', 'sunshine', 'light', 'daybreak']	1.6667	0.5120508670806885
self	['ego', 'identity', 'individuality', 'personality', 'character', 'essence', 'soul', 'spirit']	1.2857	0.5110368728637695
agree	['concur', 'assent', 'accede', 'approve', 'accept', 'endorse', 'consent', 'comply']	1.77975	0.6129558086395264
shoot	['blast', 'fire', 'discharge', 'launch', 'hurl', 'project', 'aim', 'release', 'eject', 'gun', 'pop']	1.689275	0.48226284980773926
break	['crack', 'fracture', 'shatter', 'smash', 'split', 'snap', 'burst', 'breach', 'separate', 'discontinue', 'interrupt', 'pause', 'rest']	1.70474	0.7461028099060059
path	['way', 'route', 'track', 'trail', 'course', 'roadway', 'passage', 'lane', 'thoroughfare']	1.7856999999999998	0.479733943939209
last	['final', 'ultimate', 'latest', 'concluding', 'endmost', 'ultimate', 'terminal', 'eventual', 'eventual']	1.6666666666666667	0.5439410209655762
potato	['spud', 'tater', 'tuber', 'spudnut']	1.7142499999999998	0.513404130935669
sum	['total', 'amount', 'aggregate', 'entirety', 'whole']	1.66665	0.50931715965271
care	['concern', 'worry', 'attention', 'consideration', 'regard', 'responsibility', 'protection', 'caution', 'supervision', 'mindfulness', 'interest', 'heed']	1.4404500000000002	0.8193070888519287
lottery	['raffle', 'sweepstake', 'game of chance', 'drawing', 'gamble', 'wager']	1.6667	0.4580068588256836
