original_word	synonyms	score	time_elapsed
testament	['example: affirmation', 'assurance', 'declaration', 'guarantee', 'promise', 'statement', 'vow', 'warranty\naffirmation', 'assurance', 'declaration', 'guarantee', 'promise', 'statement', 'vow', 'warranty', 'attestation', 'certification', 'confirmation', 'endorsement', 'evidence', 'oath', 'pledge']	4.1429	4.839234113693237
integration	['collation', 'incorporation', 'aggregation', 'assimilation', 'combination', 'consolidation', 'fusion', 'incorporation', 'merging', 'synthesis', 'amalgamation', 'unification', 'blending', 'coherence', 'cohesion', 'coordination', 'interlinking', 'interface', 'merging', 'oneness', 'pooling', 'synthesis']	3.8333	4.726970911026001
condemn	['condamn', 'denounce', 'disapprove', 'rebuke', 'reprobate', 'reprehend', 'reproach', 'reprove', 'vilify', 'censure', 'convict', 'damn', 'execrate', 'reprimand', 'reprehensible', 'reject', 'rebuff']	4.0	4.740931987762451
compilation	"['compile', 'collection', 'anthology', 'assemblage', 'collation', 'compilation', 'gathering', 'miscellany', 'portfolio', 'repository', 'selection', 'survey', 'synopsis', 'treasury', ""works\nI can provide you with a list of synonyms for the word 'compilation""]"	3.83335	4.9415459632873535
bufe	['cafeteria', 'dininghall', 'refectory', 'messhall', 'canteen', 'diningroom', 'dininghall', 'messroom', 'diningarea', 'diningroom', 'dininghall', 'diningspace', 'diningarea', 'dininghall', 'dininghall', 'refect']	4.2	4.73741602897644
chattanooga	['hamilton', 'chattanooga valley', 'chattanooga creek', 'chattanooga hills', 'chattanooga valley', 'chattanooga creek', 'chattanooga heights', 'chattanooga valley', 'chattanooga creek', 'chattanooga heights', 'chattanooga valley', 'chattanooga creek', 'chattanooga heights']	4.8	4.649902820587158
gourmet	['fine', 'epicurean', 'sophisticated', 'refined', 'discerning', 'cultured', 'exquisite', 'luxurious', 'deluxe', 'highend', 'premium', 'upscale', 'haute', 'posh', 'elegant', 'classy', 'luxurious', 'gourmetish', 'gourmetstyle', 'gourmetquality\nfine']	4.0	4.692373037338257
thesaurus	['lexicography', 'dictionary', 'vocabulary', 'lexicon', 'glossary', 'wordbook', 'wordlist', 'lexicon', 'vocabulary', 'lexeme', 'wordbook', 'reference', 'repository', 'storehouse', 'collection', 'accumulation', 'aggregation', 'assortment', 'assembly', 'anthology']	4.1429	4.715496778488159
plantronic	['Android', 'Android-based', 'Android-powered', 'AndroidOS', 'Android smartphone', 'Android tablet', 'Android watch', 'Android device', 'Android phone', 'Android system', 'Android operating system', 'Android OS', 'Android system software', 'Android-based device', 'Android-based smartphone', 'Android-based']	4.6667	4.67024302482605
hispanic	['Hispanic', 'Latino', 'Latin American', 'Spanish', 'Iberian', 'Chicano', 'Mexicano', 'Latinx', 'Spanish American', 'Spanish-speaking', 'Hispanic American', 'Spanish-american', 'Iberian American', 'Latin American Spanish', 'Spanish-american']	3.8571	4.751897096633911
procurement	['acquisitions', 'purchasing', 'buying', 'obtaining', 'sourcing', 'getting', 'ordering', 'acquisition', 'requisitioning', 'securing', 'obtaining', 'purchasing', 'buying', 'acquisition', 'sourcing', 'ordering', 'requisitioning', 'securing', 'obtaining', 'getting', 'buying', 'procurement', 'sourcing']	4.4286	5.113882064819336
