original_word	synonyms	score	time_elapsed
cow	['blackjack', 'bogart', 'browbeat', 'bulldoze', 'bully', 'bullyrag', 'hector', 'intimidate', 'strong-arm']	1.7856999999999998	0.2949979305267334
task	['assignment', 'chore', 'duty', 'job']	1.7856999999999998	0.2755157947540283
short	['little', 'low', 'low-lying', 'low-slung', 'sawed-off']	1.648825	0.27887773513793945
live	['abide', 'dwell', 'reside']	1.5237999999999998	0.31034207344055176
fast	['apace', 'briskly', 'chop-chop', 'double-quick', 'fleetly', 'full tilt', 'hastily', 'hell-for-leather', 'hot', 'lickety-split', 'posthaste', 'presto', 'pronto', 'quick', 'quickly', 'rapidly', 'snappily', 'soon', 'speedily', 'swift', 'swiftly']	1.7063333333333333	0.3193931579589844
red	['blooming', 'florid', 'flush', 'full-blooded', 'glowing', 'rosy', 'rubicund', 'ruddy', 'sanguine']	1.32145	0.31443309783935547
silver	['flatware', 'silverware', 'tableware']	1.7143	0.27225804328918457
cake	['croquette', 'cutlet', 'fritter', 'galette', 'patty']	1.7619	0.32692384719848633
safe	['all right', 'alright', 'secure']	1.54765	0.31491684913635254
hot	['ardent', 'boiling', 'broiling', 'burning', 'fervent', 'fervid', 'fiery', 'piping hot', 'red', 'red-hot', 'roasting', 'scalding', 'scorching', 'searing', 'sultry', 'superheated', 'sweltering', 'torrid', 'ultrahot', 'white-hot']	1.57145	0.3190579414367676
daylight	['aurora', 'cockcrow', 'dawn', 'dawning', 'day', 'daybreak', 'light', 'morn', 'morning', 'sun', 'sunrise', 'sunup']	1.6667	0.3073899745941162
self	['character', 'clay', 'colors', 'complexion', 'constitution', 'genius', 'nature', 'personality', 'tone']	1.2857	0.2952420711517334
agree	['coincide', 'concur']	1.77975	0.3085451126098633
shoot	['blast', 'discharge', 'fire', 'loose', 'squeeze off']	1.689275	0.2692079544067383
break	['break up', 'bust', 'disintegrate', 'dismember', 'disrupt', 'fracture', 'fragment', 'rive']	1.70474	0.32865214347839355
path	['course', 'line', 'pathway', 'route', 'routeway', 'steps', 'track', 'way']	1.7856999999999998	0.31186676025390625
last	['bottommost', 'closing', 'concluding', 'final', 'hindmost', 'lag', 'latest', 'latter', 'rearmost', 'terminal', 'terminating', 'ultimate']	1.6666666666666667	0.28950929641723633
potato	['deadbeat', 'do-nothing', 'drone', 'idler', 'layabout', 'lazybones', 'loafer', 'lotus-eater', 'slouch', 'slug', 'slugabed', 'sluggard']	1.7142499999999998	0.25965404510498047
sum	['aggregate', 'full', 'sum total', 'summation', 'total', 'totality', 'whole']	1.66665	0.2730381488800049
care	['carefulness', 'closeness', 'conscientiousness', 'heed', 'heedfulness', 'meticulosity', 'meticulousness', 'pains', 'scrupulousness']	1.4404500000000002	0.3149230480194092
lottery	['No synonyms found']	1.6667	0.26436591148376465
girl	['damsel', 'demoiselle', 'maid', 'maiden', 'miss']	1.2857	0.26977109909057617
show	['display', 'disport', 'exhibit', 'expose', 'flash', 'flaunt', 'lay out', 'parade', 'produce', 'show off', 'sport', 'strut', 'unveil']	1.625	0.3144800662994385
let	['allow', 'leave', 'permit']	1.4841333333333333	0.2722160816192627
boy	['boychick', 'boyo', 'callant', 'lad', 'laddie', 'nipper', 'shaveling', 'shaver', 'sonny', 'stripling', 'tad', 'youth']	1.2143000000000002	0.27161407470703125
face	['front', 'look (toward)', 'point (toward)']	1.6845499999999998	0.272996187210083
truly	['even', 'indeed', 'nay', 'verily', 'yea']	1.6667	0.2620670795440674
look	['act', 'appear', 'come across (as)', 'come off (as)', 'feel', 'make', 'seem', 'sound']	1.5	0.3129458427429199
dream	['chimera', 'conceit', 'daydream', 'delusion', 'fancy', 'fantasy', 'figment', 'hallucination', 'illusion', 'nonentity', 'phantasm', 'pipe dream', 'unreality', 'vision']	1.7976	0.2649350166320801
react	['reply', 'respond']	1.5714	0.2631707191467285
game	['bout', 'competition', 'contest', 'event', 'match', 'matchup', 'meet', 'sweepstakes', 'tournament', 'tourney']	1.42855	0.2776608467102051
tool	['device', 'implement', 'instrument', 'utensil']	1.7619	0.2621891498565674
eye	['band', 'circle', 'hoop', 'loop', 'ring', 'round']	1.627	0.31610679626464844
cry	['bawl', 'blub', 'blubber', 'sob', 'weep']	1.7226	0.3362090587615967
share	['partake', 'participate']	1.64285	0.26471900939941406
think	['allow', 'believe', 'conceive', 'consider', 'deem', 'esteem', 'feel', 'figure', 'guess', 'hold', 'imagine', 'judge', 'reckon', 'suppose']	1.5714249999999998	0.27478718757629395
golf	['No synonyms found']	1.5714	0.26360011100769043
tomato	['No synonyms found']	1.7738	0.26422786712646484
sit	['set']	1.49405	0.31523990631103516
life	['bio', 'biography', 'memoir']	1.35715	0.2937781810760498
number	['digit', 'figure', 'integer', 'numeral', 'numeric', 'whole number']	1.779775	0.2738492488861084
hard	['affectless', 'callous', 'case-hardened', 'cold-blooded', 'compassionless', 'desensitized', 'hard-boiled', 'hard-hearted', 'heartless', 'indurate', 'inhuman', 'inhumane', 'insensate', 'insensitive', 'ironhearted', 'merciless', 'obdurate', 'pachydermatous', 'pitiless', 'remorseless', 'ruthless', 'slash-and-burn', 'soulless', 'stony', 'stonyhearted', 'take-no-prisoners', 'thick-skinned', 'uncharitable', 'unfeeling', 'unmerciful', 'unsparing', 'unsympathetic']	1.5079333333333336	0.3277280330657959
local	['regional', 'aboriginal', 'autochthonous', 'born', 'domestic', 'endemic', 'indigenous', 'native', 'original']	1.64285	0.2622659206390381
small	['bantam', 'diminutive', 'dinky', 'dwarfish', 'fine', 'half-pint', 'Lilliputian', 'little', 'pint-size', 'pocket', 'pocket-size', 'puny', 'pygmy', 'shrimpy', 'slight', 'smallish', 'subnormal', 'toylike', 'undersized']	1.4603333333333337	0.30286693572998047
far	['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'too', 'unco', 'uncommonly', 'vastly', 'very', 'vitally', 'way', 'whacking', 'wicked', 'wildly']	1.57145	0.3190450668334961
try	['strain', 'stretch', 'tax', 'test']	1.666675	0.26485204696655273
cheat	['chicane', 'finagle', 'fudge']	1.727	0.26699090003967285
twin	['binary', 'bipartite', 'double', 'double-barreled', 'double-edged', 'dual', 'duplex', 'twofold']	1.55	0.2642381191253662
help	['abet', 'aid', 'assist', 'back', 'backstop', 'prop (up)', 'support']	1.4107250000000002	0.26641392707824707
upper	['higher', 'loftier', 'highest', 'loftiest', 'top', 'topmost', 'upmost', 'uppermost', 'consummate', 'maximal', 'maximized', 'maximum', 'peaked', 'supreme', 'utmost', 'uttermost', 'chief', 'dominant', 'first', 'foremost', 'head', 'leading', 'predominant', 'preeminent', 'premier', 'principal', 'dominating', 'eminent', 'prominent', 'towering', 'elevated', 'escalated', 'heightened', 'jacked (up)', 'lifted', 'raised', 'uplifted', 'upraised']	1.5714	0.27555394172668457
sixteen	['No synonyms found']	1.5714	0.26204991340637207
need	['bear', 'challenge', 'claim', 'demand', 'necessitate', 'require', 'take', 'want', 'warrant']	1.683325	0.3076472282409668
boot	['bang', 'charge', 'exhilaration', 'frisson', 'jollies', 'kick', 'rush', 'thrill', 'titillation', 'wallop']	1.75715	0.2686190605163574
shy	['fainthearted', 'fearful', 'fearsome', 'mousy', 'scary', 'skittish', 'timid', 'timorous', 'tremulous']	1.4286	0.2778639793395996
come	['advance', 'approach', 'near', 'nigh']	1.5000250000000002	0.27484798431396484
enjoy	['adore', 'delight (in)', 'dig', 'fancy', 'get off (on)', 'groove (on)', 'like', 'love', 'rejoice (in)', 'relish', 'revel (in)', 'savor']	1.6964249999999998	0.26351189613342285
good	['commonsense', 'commonsensible', 'commonsensical', 'firm', 'hard', 'informed', 'just', 'justified', 'levelheaded', 'logical', 'rational', 'reasonable', 'reasoned', 'sensible', 'sober', 'solid', 'valid', 'well-founded']	1.5714	0.35438990592956543
tooth	['appetite', 'fancy', 'favor', 'fondness', 'like', 'liking', 'love', 'love affair', 'partiality', 'preference', 'relish', 'shine', 'taste', 'use', 'craving', 'desire', 'hankering', 'longing', 'thirst', 'yen', 'bent', 'inclination', 'leaning', 'propensity', 'tendency', 'enthusiasm', 'gusto', 'interest', 'passion', 'bias', 'prejudice', 'palate', 'weakness']	1.4286	0.2675461769104004
example	['case', 'exemplar', 'exemplification', 'illustration', 'instance', 'prototype', 'representative', 'sample', 'specimen']	1.57145	0.262470006942749
sister	['brother', 'sibling', 'stepbrother', 'stepsister', 'cousin', 'kinsman', 'kinswoman', 'relation', 'relative', 'in-law', 'kissing cousin', 'blood', 'clan', 'family', 'folk', 'house', 'kindred', 'kinfolk', 'kinsfolk', 'line', 'lineage', 'people', 'race', 'stock', 'tribe']	1.2143000000000002	0.26435399055480957
begin	['commence', 'embark (on or upon)', 'enter (into or upon)', 'fall (to)', 'get off', 'kick off', 'launch', 'lead off', 'open', 'start', 'strike (into)']	1.6285599999999998	0.2648129463195801
compare	['analogize', 'assimilate', 'bracket', 'equate', 'liken']	1.775	0.2677631378173828
jump	['bound', 'hop', 'leap', 'spring', 'vault']	1.517875	0.3208889961242676
grandma	['No synonyms found']	1.5	0.2838759422302246
mean	['denote', 'express', 'import', 'intend', 'signify', 'spell']	1.5535750000000002	0.27454280853271484
song	['ballad', 'ditty', 'jingle', 'lay', 'lyric', 'vocal']	1.35715	0.3144960403442383
voice	['say', 'say-so', 'vote']	1.6905	0.2809882164001465
week	['No synonyms found']	1.3857	0.27608704566955566
learn	['get', 'master', 'pick up']	1.68572	0.26410889625549316
bus	['auto', 'automobile', 'car', 'horseless carriage', 'machine', 'motor', 'motor vehicle', 'motorcar', 'wheels']	1.28335	0.27663588523864746
street	['arterial', 'artery', 'avenue', 'boulevard', 'carriageway', 'drag', 'drive', 'expressway', 'freeway', 'high road', 'highway', 'pass', 'pike', 'road', 'roadway', 'route', 'row', 'thoroughfare', 'thruway', 'trace', 'turnpike', 'way']	1.4286	0.27617835998535156
fresh	['brand-new', 'mint', 'pristine', 'span-new', 'virgin', 'virginal']	1.4	0.26850318908691406
grow	['crop', 'cultivate', 'culture', 'dress', 'promote', 'raise', 'rear', 'tend']	1.6457000000000002	0.2658052444458008
zero	['aught', 'cipher', 'goose egg', 'naught', 'nil', 'nothing', 'o', 'oh', 'zilch', 'zip']	1.1429	0.27098512649536133
late	['behind', 'behindhand', 'belated', 'delinquent', 'latish', 'overdue', 'tardy']	1.39285	0.2688882350921631
level	['degree', 'echelon', 'footing', 'place', 'position', 'rank', 'ranking', 'reach(es)', 'rung', 'situation', 'standing', 'station', 'status', 'stratum']	1.5714	0.27281999588012695
meal	['chow', 'feed', 'menu', 'mess', 'refection', 'repast', 'table']	1.6857	0.31534576416015625
car	['auto', 'automobile', 'bus', 'horseless carriage', 'machine', 'motor', 'motorcar', 'motor vehicle', 'wheels']	1.35715	0.27257609367370605
watch	['eye', 'follow', 'observe']	1.525	0.3108241558074951
olive	['black-a-vised', 'brown', 'brunet', 'dark', 'swart', 'swarthy', 'black', 'ebony', 'raven']	1.8	0.26145410537719727
color	['cast', 'hue', 'shade', 'tincture', 'tinge', 'tint', 'tone']	1.767875	0.3280222415924072
aunt	['No synonyms found']	1.4286	0.29494309425354004
sheet	['breadth', 'distance', 'expanse', 'expansion', 'extent', 'field', 'length', 'plain', 'reach', 'spread', 'stretch', 'waste']	1.6667	0.265794038772583
pole	['capital', 'center', 'cynosure', 'epicenter', 'mecca', 'polestar', 'attraction', 'draw', 'lodestone', 'magnet', 'allure', 'allurement', 'bait', 'enticement', 'fascination', 'lure', 'temptation', 'turn-on', 'appeal', 'call', 'incentive', 'inducement', 'persuasion', 'spur', 'stimulus', 'curiosity', 'sight(s)', 'spectacle']	1.61905	0.2654547691345215
hall	['entranceway', 'entry', 'entryway', 'foyer', 'hallway', 'lobby', 'vestibule']	1.7143	0.26654791831970215
node	['bump', 'knot', 'lump', 'nodule', 'swelling']	1.8	0.2626628875732422
sleep	"['bed', 'catnapping', 'dozing', 'napping', 'repose', 'rest', 'resting', 'shut-eye', 'slumber', 'slumbering', 'snoozing', ""z's""]"	1.308325	0.2770366668701172
truth	['facticity', 'factuality', 'sooth', 'trueness', 'verity']	1.7	0.30883193016052246
card	['menu']	1.38095	0.27620697021484375
winner	['blockbuster', 'hit', 'megahit', 'smash', 'success', 'supernova']	1.7619	0.26673102378845215
save	['deliver', 'redeem']	1.375	0.2698941230773926
include	['carry', 'comprehend', 'contain', 'embrace', 'encompass', 'entail', 'involve', 'number', 'subsume', 'take in']	1.72025	0.26633214950561523
night	['dark', 'darkness', 'nighttime']	1.33335	0.27472686767578125
ear	['advertence', 'advertency', 'attention', 'awareness', 'cognizance', 'consciousness', 'eye', 'heed', 'knowledge', 'mindfulness', 'note', 'notice', 'observance', 'observation']	1.29765	0.27692198753356934
river	['rivulet', 'stream', 'aqueduct', 'canal', 'channel', 'conduit', 'course', 'flume', 'racecourse', 'raceway', 'watercourse', 'waterway', 'millrace', 'millstream', 'floodway', 'sluice', 'sluiceway', 'spillway', 'swash', 'tideway', 'torrent', 'gutter', 'trough']	1.67855	0.2683379650115967
