original_word	synonyms	score	time_elapsed
testament	['testament', 'will', 'legacy', 'bequest', 'inheritance', 'estate', 'document']	4.1429	0.3879570960998535
integration	['fusion', 'combination', 'unification', 'blending', 'merging', 'incorporation', 'assimilation', 'amalgamation', 'unity']	3.8333	0.5015170574188232
condemn	['blame', 'denounce', 'criticize', 'censure', 'reproach', 'rebuke', 'reprimand', 'reprove', 'chastise', 'disapprove']	4.0	0.6477768421173096
compilation	['collection', 'anthology', 'selection', 'aggregation', 'assemblage', 'assortment']	3.83335	0.3887941837310791
bufe	['counter', 'sideboard', 'buffet', 'server', 'credenza']	4.2	0.4288458824157715
chattanooga	['noog', 'the noog', 'cha', 'chatty', 'chat', 'nooga']	4.8	0.4705479145050049
gourmet	['epicurean', 'connoisseur', 'gastronome', 'foodie', 'epicure']	4.0	0.5430917739868164
thesaurus	['lexicon', 'wordbook', 'vocabulary', 'dictionary', 'reference book']	4.1429	0.5210602283477783
plantronic	['telephonic', 'telephonical', 'aural', 'audio', 'auditory']	4.6667	0.5128030776977539
hispanic	['latino', 'Latin-American', 'Spanish-speaking']	3.8571	0.4091918468475342
procurement	['acquisition', 'obtaining', 'purchase', 'buying', 'sourcing', 'acquisition', 'obtaining', 'purchase', 'buying', 'sourcing']	4.4286	0.5110569000244141
lipitor	['atorvastatin', 'statin']	5.0	0.4083538055419922
ejaculation	['discharge', 'emission', 'release', 'excretion', 'expulsion']	3.8333	0.5131330490112305
amnesty	['pardon', 'forgiveness', 'reprieve', 'absolution', 'immunity', 'clemency']	4.5	0.6151461601257324
diazepam	['Valium', 'lorazepam', 'alprazolam', 'clonazepam', 'Xanax']	5.8	0.6128511428833008
shropshire	['county', 'region', 'area', 'district', 'territory']	5.1667	0.40882372856140137
probation	['trial', 'testing', 'evaluation', 'assessment', 'probationary period', 'trial period']	4.2	0.5116097927093506
cardiovascular	['heart', 'circulatory', 'vascular', 'blood vessel', 'cardiac']	3.8333	0.4691886901855469
etiquette	['manners', 'decorum', 'protocol', 'propriety', 'civility', 'courtesy', 'convention']	4.5714	0.5368351936340332
malignant	['malevolent', 'malicious', 'evil', 'wicked', 'harmful', 'injurious', 'maleficent', 'baleful']	4.3333	0.5284271240234375
specimen	['example', 'sample', 'model', 'representative', 'instance', 'demonstration']	3.8571	0.4699997901916504
bizjournal	['business journal', 'trade publication', 'commercial magazine', 'corporate periodical']	4.3333	0.4498939514160156
ramada	['arbor', 'pergola', 'shelter', 'gazebo', 'pavilion', 'canopy']	4.8	0.5124471187591553
torque	['force', 'power', 'strength', 'energy', 'twist', 'moment']	4.2857	0.5115869045257568
hypothesis	['theory', 'supposition', 'assumption', 'premise', 'proposition', 'conjecture', 'speculation']	3.85715	0.5117790699005127
contingency	['eventuality', 'possibility', 'likelihood', 'chance', 'circumstance', 'situation', 'occurrence', 'incident', 'emergency']	4.3333	0.3968467712402344
equity	['fairness', 'justice', 'impartiality', 'equality', 'righteousness']	4.1667	0.3450002670288086
demographic	['population', 'group', 'category', 'sector', 'segment', 'division']	3.86905	0.43154382705688477
coalition	['alliance', 'partnership', 'union', 'federation', 'confederation', 'collaboration', 'affiliation', 'combination', 'merger']	4.5	0.48947691917419434
excerpt	['extract', 'selection', 'passage', 'snippet', 'quotation', 'fragment', 'portion']	4.083349999999999	0.427459716796875
letras	['characters', 'symbols', 'signs', 'letters', 'glyphs']	4.6667	0.46692919731140137
seneca	['philosopher', 'stoic', 'roman', 'writer', 'statesman', 'tutor']	4.6	0.41016387939453125
covenant	['agreement', 'contract', 'pact', 'deal', 'promise']	4.3333	0.39609289169311523
salisbury	['casserole', 'steakhouse', 'steak', 'dish', 'beef']	4.4	2.1282520294189453
quasi	['sort of', 'kind of', 'somewhat', 'like', 'pseudo']	4.8333	0.44483113288879395
genomic	['genetic', 'hereditary', 'chromosomal', 'DNA-based', 'heritable', 'genetic code']	4.3333	0.4763050079345703
embroider	['sew', 'stitch', 'adorn', 'decorate', 'embellish', 'trim', 'thread', 'beautify']	3.8333	0.46378421783447266
lincolnshire	['shire', 'county', 'region', 'area', 'district']	4.8	0.5948128700256348
dimm	['faint', 'dull', 'muted', 'subdued', 'soft', 'weak']	4.6	0.48665332794189453
physician	['doctor', 'MD', 'medico', 'surgeon', 'GP', 'general practitioner']	3.83335	0.37073493003845215
astronomical	['huge', 'immense', 'enormous', 'vast', 'colossal']	4.1429	0.3640940189361572
orchid	['flower', 'bloom', 'blossom', 'plant', 'exotic flower', 'tropical flower']	4.2	0.4757969379425049
scsi	['small computer system interface', 'scuzzy']	4.4	0.3144569396972656
imprint	['imprint', 'mark', 'stamp', 'impression', 'seal', 'brand', 'engraving', 'indentation', 'embossment']	4.0	0.5357890129089355
websphere	['sphere', 'globe', 'orb', 'circle']	5.0	0.4297330379486084
amendment	['revision', 'alteration', 'modification', 'change', 'adjustment', 'improvement']	3.9286	0.3990051746368408
providence	['foresight', 'care', 'caution', 'prudence', 'forethought', 'provision']	4.1429	0.44953489303588867
blogshare	['post', 'share', 'publish', 'write', 'contribute', 'disseminate', 'distribute', 'communicate']	4.3333	3.039398193359375
zen	['calm', 'peaceful', 'serene', 'tranquil', 'untroubled']	4.0	0.4615950584411621
cardiology	['heart study', 'heart specialist', 'heart doctor', 'heart expert', 'heart care', 'heart treatment', 'heart medicine', 'heart health']	4.0	0.5535690784454346
vaughn	['actor', 'performer', 'artist', 'player', 'entertainer']	4.4	0.6137521266937256
programming	['coding', 'scripting', 'developing', 'software development', 'computer programming', 'coding', 'writing code', 'software engineering', 'software design']	3.8333	0.4561281204223633
parliamentary	['legislative', 'congressional', 'governmental', 'senatorial', 'lawmaking', 'deliberative', 'assembly', 'council']	4.4	0.46370887756347656
vicodin	['painkiller', 'opioid', 'analgesic', 'medication', 'prescription drug']	3.8571	0.5127639770507812
filipino	['pinoy', 'Philippine', 'Pilipino', 'citizen of the Philippines', 'Filipino people', 'people of the Philippines']	4.0	0.4710538387298584
